Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaliyah,215,78,84,85,88,87,81,78,87,87,75
Abraham,228,82,65,63,60,85,77,79,85,61,78
Adrian,236,71,52,55,74,60,50,54,59,62,71
Adrianna,217,78,72,60,85,85,80,60,75,70,76
Aidan,235,83,88,75,82,86,84,78,83,79,86
Alondra,214,86,77,88,85,81,76,81,85,83,90
Angel,240,67,64,84,72,61,60,82,84,66,68
Antonio,230,69,65,83,79,83,67,74,62,63,78
Ariana,231,73,83,72,65,85,67,82,68,71,76
Bailey,208,62,75,73,59,62,56,65,67,65,70
Briana,249,92,97,82,85,89,84,100,96,92,87
Bryce,205,83,75,70,82,79,61,67,61,71,80
Charlotte,232,78,70,83,60,67,67,69,69,72,82
Colton,234,75,71,81,85,73,64,64,79,75,68
Conner,225,83,90,79,82,87,86,85,88,79,77
Connor,244,69,64,73,63,61,78,63,76,62,75
Courtney,247,63,85,75,78,71,79,78,64,83,79
Damian,242,79,81,83,87,89,88,80,90,79,78
Daniel,213,78,90,84,75,78,89,83,90,81,81
Edgar,203,75,80,86,88,90,75,90,79,86,86
Emily,248,78,84,79,75,88,80,80,86,83,76
Eric,233,80,63,74,80,71,66,70,80,71,84
Fernando,216,85,66,76,64,85,69,65,69,70,79
George,210,85,79,85,85,89,83,83,87,78,75
Gracie,223,58,52,64,66,74,61,69,59,56,60
Jacob,226,75,70,60,76,79,85,68,77,66,73
Jade,204,85,83,76,79,79,89,90,79,81,89
Jose,246,82,76,77,79,85,84,86,89,86,83
Joseph,209,75,80,63,78,71,75,81,73,63,67
Karen,250,90,82,77,88,78,78,76,76,90,79
Kennedy,211,81,81,77,63,83,68,78,62,66,62
Lucas,202,60,77,73,64,79,79,69,83,75,72
Luis,201,86,77,76,83,80,90,85,83,82,85
Madelyn,224,77,75,76,90,75,75,78,86,83,87
Malachi,238,79,71,66,65,85,61,78,63,60,83
Mario,227,85,77,83,82,78,70,65,79,63,84
Miguel,243,70,74,60,82,74,69,78,71,62,77
Nicolas,237,75,76,75,79,83,87,85,80,83,87
Raymond,219,60,77,70,80,81,84,70,79,74,76
Robert,221,84,79,74,79,69,79,60,78,77,76
Ryan,218,64,68,79,80,65,66,79,63,79,83
Sara,245,63,74,57,57,65,73,56,73,59,63
Sierra,212,84,73,77,67,74,72,69,79,71,84
Stephanie,241,70,78,82,82,77,60,71,76,67,63
Timothy,206,75,78,88,85,88,82,79,86,85,78
Tyler,220,64,67,65,60,70,61,79,80,84,64
Veronica,207,84,63,81,70,79,75,65,61,61,82
Wesley,229,63,65,67,62,75,80,69,79,81,81
William,239,82,62,78,64,75,76,82,65,71,60
Zachary,222,56,58,67,73,63,53,52,58,62,73
