Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alana,156,60,60,84,68,76,66,69,75,66,71
Alexander,191,86,94,100,100,98,99,81,80,83,84
Alexia,187,83,79,61,61,76,74,72,69,82,66
Alicia,162,96,92,88,93,97,93,99,90,84,84
Allison,192,93,85,80,95,81,84,81,90,82,89
Ashley,173,84,99,83,81,87,94,99,86,80,84
Ashlyn,175,77,81,78,67,74,72,66,78,77,75
Autumn,188,62,78,62,84,81,78,83,82,85,77
Avery,151,68,82,75,76,78,69,78,79,64,78
Brayden,200,81,64,64,76,62,77,70,73,72,72
Bryan,182,99,97,90,80,83,98,83,100,93,98
Chase,169,77,90,81,86,79,76,77,88,78,78
Christian,196,68,64,73,85,76,85,73,64,82,65
Colby,176,84,80,79,62,60,63,77,85,66,70
Cooper,194,75,87,79,86,90,90,89,75,78,81
Eduardo,159,66,62,76,67,64,75,63,75,74,76
Elijah,199,64,83,70,85,80,64,70,64,67,77
Evan,166,87,81,90,85,90,80,75,80,90,77
Francisco,164,75,80,81,76,86,85,78,84,81,90
Gabriel,155,79,87,75,84,87,87,88,84,83,88
Garrett,165,89,83,90,91,82,97,90,97,88,91
Hunter,153,94,80,100,81,92,99,93,86,92,87
Isaac,178,74,61,68,76,63,78,82,68,82,66
Isabelle,197,72,67,74,60,78,62,61,83,69,81
Kate,186,83,82,62,72,79,78,60,61,83,71
Kenneth,183,83,90,89,78,77,88,81,76,75,75
Kimberly,181,79,78,70,77,67,81,60,66,68,74
Kylee,167,88,76,80,83,84,89,78,80,79,75
Kylie,189,64,65,64,61,66,77,71,66,74,65
Liam,158,79,88,88,89,90,81,82,87,81,75
Luke,177,77,67,63,62,60,63,82,78,70,81
Makayla,157,93,94,93,89,85,80,94,95,93,100
Manuel,195,97,82,86,87,83,88,98,86,86,98
Maria,184,84,85,78,81,81,84,82,76,78,75
Miranda,179,88,80,84,81,78,87,87,82,83,79
Molly,160,93,85,96,83,94,93,90,93,94,96
Natalie,180,64,67,79,62,67,70,62,70,72,74
Nicole,198,72,75,80,66,76,81,76,85,73,68
Olivia,161,81,63,63,82,72,64,81,68,65,61
Omar,185,89,75,77,84,78,76,90,80,83,85
Paige,174,86,77,85,79,85,83,79,81,87,88
Richard,163,82,83,77,81,89,90,89,88,77,79
Samantha,193,75,80,88,90,84,82,78,78,80,83
Steven,152,94,89,83,100,100,88,92,86,90,95
Sydney,172,86,85,76,85,87,87,79,75,79,87
Tanner,170,77,77,73,60,63,62,67,68,76,67
Taylor,190,63,69,71,76,68,63,78,79,77,70
Tiffany,154,86,77,88,81,76,86,76,82,81,86
Trinity,171,77,78,77,83,85,86,83,89,83,89
Wyatt,168,94,93,98,92,95,99,94,97,84,84
