Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Adam,133,91,97,97,89,80,85,89,81,91,98
Addison,103,50,65,69,69,74,54,70,50,73,66
Alan,131,90,96,82,98,91,99,97,97,91,81
Alexis,111,78,89,78,88,79,79,80,90,82,84
Amber,119,85,64,73,77,67,80,69,68,68,65
Arianna,122,63,83,82,73,72,66,79,62,68,74
Aubrey,126,84,76,80,76,81,75,88,84,79,89
Bianca,128,88,85,82,86,97,94,93,88,81,98
Braden,104,73,64,77,79,75,70,68,71,69,73
Brittany,102,62,72,64,81,85,74,81,60,65,69
Bryson,125,87,100,87,88,82,84,98,100,92,87
Camila,113,79,85,77,60,79,77,60,72,85,76
Catherine,112,83,81,72,68,65,70,82,85,64,83
Chloe,120,88,87,90,81,80,84,77,79,84,90
Cristian,135,80,79,88,79,86,78,80,90,86,83
Daniela,116,95,99,90,81,93,95,100,88,89,83
Diego,149,75,72,70,73,60,54,67,57,63,63
Ellie,118,66,72,72,67,74,83,72,80,80,69
Emmanuel,123,72,78,78,75,62,66,70,61,70,62
Gabrielle,114,67,70,69,78,66,62,72,79,83,72
Giselle,132,92,87,91,92,95,94,97,92,94,93
Hailey,105,86,84,89,98,90,88,100,82,93,81
Jackson,109,78,76,88,79,76,82,89,90,78,88
Jalen,134,80,82,68,81,77,79,69,60,80,62
Jasmine,141,72,76,81,69,83,62,67,63,70,82
Jayden,107,62,79,63,63,82,70,61,82,78,84
Jazmin,127,85,84,73,69,70,60,71,65,80,70
Joel,144,81,100,84,83,96,90,91,82,94,98
Jordyn,124,94,94,86,81,92,80,91,100,93,90
Jorge,145,89,88,76,87,88,89,82,78,82,76
Julian,115,93,92,91,91,95,92,95,97,82,98
Kaleb,142,89,82,94,92,90,93,90,99,87,99
Katherine,108,89,99,87,96,82,95,83,98,81,84
Leslie,136,88,77,85,81,76,88,86,79,85,83
Liliana,146,71,78,60,78,69,68,75,60,63,70
Lilly,138,77,79,76,74,84,78,85,80,60,60
Mason,129,89,81,84,79,84,77,80,77,75,88
Matthew,137,95,99,80,96,91,92,100,89,99,95
Mckenzie,140,64,63,80,61,68,80,75,77,82,60
Melanie,147,87,86,75,79,77,85,84,85,79,85
Micah,121,80,79,86,85,76,83,83,77,78,75
Michelle,139,84,75,76,90,81,82,90,85,82,77
Patrick,106,75,82,86,79,82,89,78,89,86,80
Paul,117,83,78,90,77,85,77,76,81,87,80
Peyton,101,68,67,84,67,77,80,64,64,83,61
Sofia,150,96,90,91,90,81,80,95,94,90,100
Spencer,110,88,84,84,87,91,95,86,98,94,92
Trenton,130,56,73,68,71,53,62,53,63,51,68
Vincent,148,78,75,84,83,86,82,80,79,77,88
Xavier,143,84,77,86,85,75,84,78,85,87,76
