Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abigail,1,78,82,87,88,77,78,85,79,84,85
Alexa,29,81,72,65,78,61,81,79,82,71,65
Alexandra,28,78,84,75,75,85,76,89,75,75,85
Amanda,32,83,69,82,60,81,82,62,73,69,67
Amy,39,78,80,69,77,61,80,61,78,83,61
Ana,47,78,74,65,74,76,61,65,79,81,60
Angel,20,64,69,63,63,85,65,76,63,73,62
Angelina,50,61,51,57,73,63,51,61,67,62,56
Anthony,23,85,83,80,88,80,95,88,96,81,85
Audrey,43,83,71,69,69,71,63,63,67,61,68
Austin,10,66,65,73,76,73,60,64,70,69,73
Ayden,35,85,73,77,69,60,79,72,83,83,71
Bradley,37,60,64,69,70,84,63,84,69,61,80
Brianna,21,61,77,84,76,71,78,84,80,72,74
Caden,40,97,89,96,96,98,80,83,100,92,93
Carson,5,88,82,82,98,92,96,83,97,85,86
Cesar,24,89,78,76,76,76,75,81,88,85,82
Cody,6,78,88,83,77,88,89,78,84,83,75
Crystal,33,60,60,57,61,60,74,64,51,52,54
Dalton,45,87,95,83,96,94,81,99,82,91,97
Derek,25,97,98,86,80,80,96,80,96,93,80
Destiny,22,63,74,77,83,85,84,62,69,60,85
Devon,2,81,87,85,81,76,89,76,89,88,78
Diana,11,75,83,90,86,87,77,83,79,84,78
Edwin,41,85,76,87,88,88,83,78,77,87,80
Elias,14,91,99,96,90,95,98,98,82,85,95
Elizabeth,46,82,79,83,84,81,75,79,83,88,75
Faith,34,83,76,78,80,89,75,84,76,76,81
Gianna,31,76,79,85,89,79,78,75,87,85,82
Gregory,7,72,64,81,85,72,63,69,72,62,85
James,49,83,81,60,71,63,74,78,60,73,68
Jesus,15,81,85,87,86,78,82,76,85,83,77
John,12,100,87,82,83,82,98,91,83,91,85
Kaden,44,74,64,71,57,57,51,57,57,58,74
Kaylee,48,68,85,70,65,60,64,61,83,73,67
Kevin,8,80,84,61,71,61,79,64,69,67,78
Kyle,42,67,80,83,78,80,70,71,84,73,69
Laura,4,81,85,81,83,80,83,88,87,79,77
Madison,38,75,84,78,90,77,78,90,87,78,78
Martin,26,85,67,78,82,65,71,78,69,80,60
Mary,9,77,60,83,62,73,72,62,75,67,85
Megan,36,99,99,83,97,95,97,86,86,87,88
Noah,18,83,89,87,100,97,87,90,90,99,91
Oliver,16,80,80,60,64,76,76,70,85,84,69
Peter,13,84,80,68,78,67,64,79,84,65,67
Preston,30,94,93,99,100,81,84,97,83,100,97
Ricardo,17,86,86,78,79,86,82,81,82,87,86
Shawn,27,74,82,70,80,69,83,85,76,61,85
Shelby,3,67,63,70,67,76,73,64,76,85,83
Skylar,19,97,89,84,86,98,97,81,93,91,81
