Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alejandro,393,64,74,72,73,67,68,81,73,63,76
Andrew,380,66,68,81,81,81,76,79,76,71,65
Angela,397,68,76,80,71,61,60,82,78,69,84
Brendan,369,80,87,85,87,86,90,79,86,77,75
Brooklyn,367,83,73,82,69,71,70,82,74,71,74
Caitlyn,381,98,82,80,83,100,98,94,100,80,97
Cameron,366,58,53,52,74,67,56,52,71,74,64
Chelsea,392,82,73,63,85,65,63,64,80,76,81
Collin,396,69,62,74,60,67,71,84,68,82,77
Daisy,395,89,83,82,82,75,80,79,90,87,78
Dominic,376,75,90,79,83,77,75,86,79,85,80
Erik,360,68,63,60,69,72,79,68,65,80,67
Erin,354,74,76,80,74,74,64,72,60,68,81
Genesis,353,61,82,62,85,61,65,75,83,65,65
Hannah,362,70,74,67,74,66,56,57,57,53,70
Isabel,387,65,80,78,85,71,72,69,78,81,71
Javier,364,62,82,68,80,74,67,65,68,79,67
Jeffrey,388,75,81,86,77,88,90,81,85,90,81
Jenna,383,80,75,75,75,86,88,90,78,81,83
Jeremiah,382,78,90,84,78,85,76,84,75,83,89
Jesse,358,83,88,100,98,81,85,90,88,85,93
Jillian,399,63,72,60,65,71,78,73,60,81,83
Jocelyn,377,87,83,88,82,97,83,84,91,95,90
Johnathan,378,63,65,76,81,62,64,60,75,67,70
Jordan,389,84,84,74,78,74,71,60,74,66,72
Joshua,391,80,90,85,90,75,86,89,78,85,86
Justin,375,61,75,74,73,66,69,67,75,85,66
Kiara,400,68,73,64,81,77,78,84,69,72,77
Landon,368,100,95,94,100,95,90,91,82,90,96
Layla,365,70,65,76,78,79,68,63,82,74,63
Leah,372,79,76,88,85,87,77,84,86,79,81
Levi,386,81,77,81,90,80,83,76,80,81,86
Logan,390,76,66,73,84,60,83,67,63,74,69
Lucy,394,88,96,81,81,81,82,86,85,92,83
Marissa,370,78,66,60,79,74,76,77,63,82,80
Maya,352,76,78,82,81,89,77,88,90,82,90
Melissa,373,84,100,100,80,96,96,94,97,95,94
Naomi,374,78,74,73,82,65,71,66,67,80,69
Natalia,379,83,82,88,83,85,81,93,100,93,93
Nathan,371,82,84,67,77,61,78,82,61,81,74
Nevaeh,398,83,60,64,68,74,76,72,82,60,76
Nicholas,359,65,65,85,77,60,75,78,83,80,76
Nolan,351,69,66,62,77,69,72,64,79,66,68
Rylee,361,80,99,92,94,81,95,89,88,80,83
Sadie,384,88,85,80,75,85,87,86,84,82,86
Serenity,363,81,64,84,84,79,66,62,79,70,62
Sophia,357,90,78,90,85,82,85,81,81,76,82
Trevor,356,84,82,68,76,82,62,68,62,74,77
Valerie,355,79,76,82,87,77,89,85,76,82,90
Zoe,385,77,75,61,80,72,60,82,65,72,70
