Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abby,260,75,78,72,75,71,83,64,63,72,72
Aiden,280,81,79,62,84,81,77,70,64,72,83
Alyssa,294,89,87,81,84,100,91,100,86,89,99
Andrea,259,80,87,81,79,80,80,88,88,79,88
Angelica,272,87,93,93,91,92,88,93,90,81,96
Ashton,266,67,75,84,74,68,62,75,61,69,71
Brady,281,71,82,69,80,62,83,81,71,61,73
Brooke,287,70,76,61,76,85,85,83,67,70,78
Caitlin,261,81,97,84,92,96,94,92,99,84,90
Cassandra,299,71,65,68,78,72,60,81,64,68,76
Cassidy,254,74,74,70,83,61,71,72,85,70,69
Cheyenne,268,75,85,85,84,77,76,75,78,79,85
Claire,252,77,80,87,83,78,84,77,83,84,78
Cole,291,70,60,72,67,68,74,67,65,73,54
Colin,283,85,65,69,77,63,80,79,84,83,81
Devin,253,86,82,85,86,75,88,77,76,75,78
Donovan,284,77,79,69,63,85,74,61,63,65,67
Edward,263,77,88,87,77,79,86,77,78,85,75
Eli,297,83,83,91,92,92,89,87,90,93,94
Erick,289,80,60,63,64,85,85,81,77,61,61
Gabriella,298,75,66,62,77,77,73,80,61,62,73
Grace,285,82,94,89,92,90,84,99,100,100,100
Hope,264,64,76,72,68,68,76,61,73,73,75
Jada,271,70,81,60,76,61,78,61,75,83,60
Jennifer,275,97,89,81,92,92,83,100,83,83,98
Jeremy,257,80,76,75,77,82,75,88,86,85,88
Jessica,295,68,79,75,73,68,65,69,60,67,63
Jonathan,273,85,79,89,86,76,81,89,90,86,80
Kendall,262,64,70,84,80,61,70,75,67,82,72
Lauren,279,61,72,61,65,75,75,70,63,72,63
Leonardo,290,95,98,86,96,89,89,80,90,86,98
Lillian,274,67,76,70,61,76,66,80,85,60,79
Marcus,251,74,68,78,82,70,65,66,72,67,63
Mark,292,79,80,72,81,77,79,68,70,81,72
Michael,270,84,63,77,76,81,80,75,82,69,80
Mikayla,276,85,73,78,73,83,66,63,65,82,62
Mya,269,83,77,81,81,88,90,88,75,90,86
Nathaniel,278,83,73,72,80,66,84,69,85,81,68
Oscar,265,78,79,85,89,83,86,80,84,75,87
Payton,277,85,75,90,89,77,77,77,86,88,77
Peyton,300,100,96,91,89,99,100,88,99,87,88
Rachel,286,71,62,74,81,83,69,68,69,72,72
Rebecca,256,78,70,68,60,80,69,78,64,80,62
Riley,293,94,92,88,87,95,97,96,88,97,96
Ruby,282,80,66,85,63,81,60,68,68,65,78
Samuel,255,75,89,81,82,75,76,89,84,88,76
Shane,267,80,79,83,89,88,78,78,87,87,85
Sophie,296,69,82,64,66,83,85,72,66,64,76
Stephen,258,90,89,75,81,83,82,86,75,87,78
Victor,288,53,65,56,66,59,59,54,54,74,57
