Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaron,327,78,78,86,88,81,79,90,84,90,75
Alexandria,328,79,83,67,72,62,70,69,80,80,70
Andres,317,84,74,79,65,68,71,66,62,60,79
Anna,310,76,85,78,84,80,87,77,87,78,88
Benjamin,334,80,78,78,83,88,75,84,78,75,90
Blake,326,83,65,64,80,64,82,62,82,75,78
Brandon,316,82,84,77,82,80,87,81,75,89,84
Brian,331,75,77,85,78,75,79,77,76,87,78
Brody,346,62,78,65,66,72,85,77,62,77,76
Carter,324,76,76,68,69,85,74,64,73,78,79
Dakota,302,81,75,90,80,78,84,77,86,75,75
Danielle,321,80,78,72,80,60,85,71,63,79,78
David,332,77,82,76,85,80,75,90,79,90,88
Delaney,344,79,89,82,85,81,83,75,77,77,86
Ella,341,58,64,67,70,57,56,52,59,72,55
Emma,306,86,77,77,81,78,85,75,89,87,79
Gabriela,309,81,89,88,90,87,93,90,99,94,90
Gavin,330,84,86,78,86,85,87,86,88,81,83
Giovanni,342,61,80,85,76,67,62,77,81,65,77
Haley,304,80,81,69,68,65,70,64,83,64,67
Hayden,336,76,74,67,78,61,71,82,78,73,70
Henry,307,81,78,78,76,80,88,90,76,79,86
Ian,315,65,64,65,68,83,81,73,76,60,72
Isabella,320,79,86,79,90,82,80,86,86,86,88
Jack,318,94,90,98,87,89,99,88,90,99,95
Jaden,303,84,81,85,63,62,79,79,74,66,84
Jake,311,77,66,75,71,81,82,61,68,65,70
Jayla,333,77,83,64,72,65,83,75,82,62,78
Jonah,308,84,75,67,84,85,73,77,61,73,78
Juan,301,58,56,74,58,57,60,53,71,75,64
Julia,322,82,80,64,73,78,85,77,65,68,73
Karina,348,80,88,86,82,76,90,88,89,82,88
Katelyn,312,94,86,87,99,82,100,85,84,83,99
Kayla,340,63,70,72,64,62,77,73,84,67,71
Kelly,350,76,86,77,84,77,81,85,88,82,88
Lily,323,95,90,87,89,80,93,97,94,81,93
Lydia,335,84,78,90,81,76,86,89,75,87,82
Mackenzie,347,69,74,65,81,63,68,70,68,79,74
Makenzie,349,86,80,79,75,75,88,87,90,78,75
Marco,345,79,79,84,85,89,88,90,85,84,84
Max,338,78,80,86,75,81,90,82,80,78,80
Mia,313,82,75,87,85,88,75,75,76,81,88
Owen,314,78,72,84,78,66,74,66,83,72,64
Riley,339,68,52,67,67,74,75,74,70,70,73
Sabrina,325,90,83,87,77,81,87,80,79,77,77
Savannah,343,76,77,79,76,78,80,85,90,80,76
Sean,337,57,64,54,74,68,64,62,72,68,50
Sergio,319,72,69,73,60,75,68,67,51,68,53
Vanessa,305,89,75,90,80,80,80,75,77,89,89
Victoria,329,69,67,75,67,82,84,78,80,83,80
